
ОТДЕЛ УФМС РОССИИ ПО АСТРАХАНСКОЙ ОБЛ. В ТРУСОВСКОМ Р-НЕ Г. АСТРАХАНИ 
300-004


ОТДЕЛЕНИЕ УФМС РОССИИ ПО АСТРАХАНСКОЙ ОБЛ. В АХТУБИНСКОМ Р-НЕ 
300-005


ОТДЕЛЕНИЕ УФМС РОССИИ ПО АСТРАХАНСКОЙ ОБЛ. В ВОЛОДАРСКОМ Р-НЕ 
300-006


ОТДЕЛЕНИЕ УФМС РОССИИ ПО АСТРАХАНСКОЙ ОБЛ. В ЕНОТАЕВСКОМ Р-НЕ 
300-007


 ОТДЕЛЕНИЕ УФМС РОССИИ ПО АСТРАХАНСКОЙ ОБЛ. В ИКРЯНИНСКОМ Р-НЕ
300-008


ОТДЕЛЕНИЕ УФМС РОССИИ ПО АСТРАХАНСКОЙ ОБЛ. В КАМЫЗЯКСКОМ Р-НЕ 
300-009


 ОТДЕЛЕНИЕ УФМС РОССИИ ПО АСТРАХАНСКОЙ ОБЛ. В КРАСНОЯРСКОМ Р-НЕ
300-010


Отдел УФМС России по Астраханской области в с. Красный Яр 
300-010


 ОТДЕЛЕНИЕ УФМС РОССИИ ПО АСТРАХАНСКОЙ ОБЛ. В ЛИМАНСКОМ Р-НЕ
300-011


 Отдел УФМС России по Астраханской области в пос. Лиман
300-011


ОТДЕЛЕНИЕ УФМС РОССИИ ПО АСТРАХАНСКОЙ ОБЛ. В НАРИМАНОВСКОМ Р-НЕ 
300-012


Отдел УФМС России по Астраханской области в г. Нариманов 
300-012


ОТДЕЛЕНИЕ УФМС РОССИИ ПО АСТРАХАНСКОЙ ОБЛ. В ПРИВОЛЖСКОМ Р-НЕ 
300-013


ОТДЕЛЕНИЕ УФМС РОССИИ ПО АСТРАХАНСКОЙ ОБЛ. В ХАРАБАЛИНСКОМ Р-НЕ 
300-014


ОТДЕЛЕНИЕ УФМС РОССИИ ПО АСТРАХАНСКОЙ ОБЛ. В ЧЕРНОЯРСКОМ Р-НЕ 
300-015


ОТДЕЛЕНИЕ УФМС РОССИИ ПО АСТРАХАНСКОЙ ОБЛ. В Г. ЗНАМЕНСК 
300-016


ОТДЕЛ УФМС РОССИИ ПО АСТРАХАНСКОЙ ОБЛ. В Г. ЗНАМЕНСК 
300-016


ОТДЕЛЕНИЕ УФМС РОССИИ ПО АСТРАХАНСКОЙ ОБЛАСТИ В ЧЕРНОЯРСКОМ РАЙОНЕ 
300-017


 ОТДЕЛЕНИЕ УФМС РОССИИ ПО АСТРАХАНСКОЙ ОБЛ. В ПРИВОЛЖСКОМ Р-НЕ
300-019


 УВД АСТРАХАНСКОЙ ОБЛ.
301-001


 ОВД КИРОВСКОГО Р-НА Г. АСТРАХАНИ
302-001


ОВД ЛИМАНСКОГО Р-НА АСТРАХАНСКОЙ ОБЛ. 
302-003


 ОВД СОВЕТСКОГО Р-НА Г. АСТРАХАНИ
302-005


ОВД ЛЕНИНСКОГО Р-НА Г. АСТРАХАНИ 
302-007


ОВД Ленинского р-на гор. Астрахани
302-007


ОВД ТРУСОВСКОГО Р-НА Г. АСТРАХАНИ 
302-010


ОВД АХТУБИНСКОГО Р-НА АСТРАХАНСКОЙ ОБЛ. 
302-014


ОВД ВОЛОДАРСКОГО Р-НА АСТРАХАНСКОЙ ОБЛ. 
302-015


ОВД ЕНОТАЕВСКОГО Р-НА АСТРАХАНСКОЙ ОБЛ. 
302-016


ОВД ИКРЯНИНСКОГО Р-НА АСТРАХАНСКОЙ ОБЛ. 
302-017


 ОВД КАМЫЗЯКСКОГО Р-НА АСТРАХАНСКОЙ ОБЛ.
302-018


ОВД КРАСНОЯРСКОГО Р-НА АСТРАХАНСКОЙ ОБЛ. 
302-019


ОВД ЛИМАНСКОГО Р-НА АСТРАХАНСКОЙ ОБЛ. 
302-020


ОВД НАРИМАНОВСКОГО Р-НА АСТРАХАНСКОЙ ОБЛ. 
302-021


ОВД ПРИВОЛЖСКОГО Р-НА АСТРАХАНСКОЙ ОБЛ. 
302-022


 ОВД ХАРАБАЛИНСКОГО Р-НА АСТРАХАНСКОЙ ОБЛ.
302-023


ОВД ЧЕРНОЯРСКОГО Р-НА АСТРАХАНСКОЙ ОБЛ. 
302-024


ОВД Г. ЗНАМЕНСКА АСТРАХАНСКОЙ ОБЛ. 
302-025


1 ОВД Г. АХТУБИНСКА-1 АСТРАХАНСКОЙ ОБЛ. 
302-026


Кем выдан

Код подразделения


ОТДЕЛ УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В БЕЖИЦКОМ Р-НЕ Г. БРЯНСКА
320-001


Отделом УФМС России по Брянской области в Бежицком районе гор. Брянска 
320-001


ОТДЕЛЕНИЕ УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В ВОЛОДАРСКОМ Р-НЕ Г. БРЯНСКА 
320-002


Отделением УФМС России по Брянской области в Володарском районе гор. Брянска 
320-002


ОТДЕЛ УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В СОВЕТСКОМ Р-НЕ Г. БРЯНСКА
320-003


Отделом УФМС России по Брянской области в Советском районе гор. Брянска 
320-003


ОТДЕЛЕНИЕ УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В ФОКИНСКОМ Р-НЕ Г. БРЯНСКА 
320-004


Отделением УФМС России по Брянской области в Фокинском районе гор. Брянска 
320-004


ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В П. ЛОКОТЬ 
320-005


МЕЖРАЙОННЫЙ ОТДЕЛ УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В П. ЛОКОТЬ 
320-005


МЕЖРАЙОННЫЙ ОТДЕЛ УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В Г. БРЯНСКЕ
320-006


 Межрайонным Отделом УФМС России по Брянской области в городе Брянске 
320-006


 ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В ПГТ. ВЫГОНИЧИ
320-007


 ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В ВЫГОНИЧСКОМ Р-НЕ
320-007


 ТП №1 (С МЕСТОМ ДИСЛОКАЦИИ В ПГТ. ВЫГОНИЧИ) МО УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В Г. БРЯНСКЕ
320-007


 ТП №2 В c. Гордеевка МО УФМС России по Брянской обл. в г. Клинцы
320-008


 ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В ГОРДЕЕВСКОМ Р-НЕ
320-008


 №2 (С МЕСТОМ ДИСЛОКАЦИИ В П. ГОРДЕЕВКА) МО УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В Г. КЛИНЦЫ
320-008


МЕЖРАЙОННЫЙ ОТДЕЛ УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В П. ДУБРОВКА
320-009


Межрайонным Отделом УФМС России по Брянской области в пос. Дубровка 
320-009


 МЕЖРАЙОННЫЙ ОТДЕЛ УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В Г. ДЯТЬКОВО
320-010


МЕЖРАЙОННЫЙ ОТДЕЛ УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В Г. ДЯТЬКОВЕ 
320-010


Отделение УФМС России по Брянской обл. в г. Дятьково 
320-010


Межрайонным Отделом УФМС России по Брянской области в городе Дятьково
320-010


 ТП №2 в пос. Жирятино МО УФМС России по Брянской обл. в г. Брянске
320-011


ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В П. ЖИРЯТИНО 
320-011


ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В ЖИРЯТИНСКОМ Р-НЕ 
320-011


 ТП №2 (С МЕСТОМ ДИСЛОКАЦИИ В П. ЖИРЯТИНО) МО УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В Г. БРЯНСКЕ
320-011


 ТП №1 В Г. ЖУКОВКА МО УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В П. ДУБРОВКА
320-012


 ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В ЖУКОВСКОМ Р-НЕ
320-012


 ТЕРРИТОРИАЛЬНЫМ ПУНКТОМ УФМС РОССИИ ПО БРЯНСКОЙ ОБЛАСТИ В ЖУКОВСКОМ РАЙОНЕ
320-012


 ТП УФМС России по Брянской обл. в г. Жуковка
320-012


ТП №2 В Г. ЗЛЫНКА МО УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В Г. НОВОЗЫБКОВЕ 
320-013


ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В ЗЛЫНКОВСКОМ Р-НЕ 
320-013


ТП УФМС России по Брянской обл. в г. Злынка 
320-013


Территориальным пунктом УФМС России по Брянской области в Злынковском районе
320-013


ОТДЕЛЕНИЕ УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В КАРАЧЕВСКОМ Р-НЕ 
320-014


 Отделение УФМС России по Брянской области в Карачевском районе
320-014


 ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В КЛЕТНЯНСКОМ Р-НЕ
320-015


 ТП №2 В ПГТ. КЛЕТНЯ МО УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В П. ДУБРОВКА
320-015


ТП УФМС России по Брянской обл. в пгт. Клетня 
320-015


ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В КЛИМОВСКОМ Р-НЕ 
320-016


 ТП №1 В ПГТ. КЛИМОВО МО УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В Г. НОВОЗЫБКОВЕ
320-016


 ТП УФМС России по Брянской области в пос. Климово
320-016


 Территориальным пунктом УФМС России по Брянской области в Климовском районе
320-016


МЕЖРАЙОННЫЙ ОТДЕЛ УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В Г. КЛИНЦЫ 
320-017


Межрайонным Отделом УФМС России по Брянской области в городе Клинцы 
320-017


ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В КОМАРИЧСКОМ Р-НЕ 
320-018


 ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В ПГТ. КОМАРИЧИ
320-018


 Территориальным пунктом УФМС России по Брянской области в Комаричском районе
320-018


 ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В КРАСНОГОРСКОМ Р-НЕ
320-019


 ТЕРРИТОРИАЛЬНЫМ ПУНКТОМ УФМС РОССИИ В КРАСНОГОРСКОМ РАЙОНЕ
320-019


ТП №1 (С МЕСТОМ ДИСЛОКАЦИИ В ПГТ. КРАСНАЯ ГОРА) МО УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В Г. КЛИНЦЫ 
320-019


 ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В Г. МГЛИН
320-020


 ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В МГЛИНСКОМ Р-НЕ
320-020


ТП №2 В Г. МГЛИН МО УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В Г. УНЕЧА 
320-020


ТП №2 в гор. Мглин МО УФМС России по Брянской обл. в г. Стародуб 
320-020


 ТЕРРИТОРИАЛЬНЫЙ ПУНКТ УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В МГЛИНСКОМ Р-НЕ
320-020


ТП №2 В Г. МГЛИН МО УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В ГОР. УНЕЧА 
320-020


Территориальным пунктом УФМС России по Брянской области в Мглинском районе
320-020


 ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В НАВЛИНСКОМ Р-НЕ
320-021


ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В ПГТ. НАВЛЯ 
320-021


Территориальным пунктом УФМС России по Брянской области в Навлинском районе
320-021


Отдел УФМС России по Брянской обл. в г. Новозыбкове 
320-022


МЕЖРАЙОННЫЙ ОТДЕЛ УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В Г. НОВОЗЫБКОВЕ 
320-022


 ОТДЕЛЕНИЕ УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В Г. НОВОЗЫБКОВЕ
320-022


 Межрайонным Отделом УФМС России по Брянской области в городе Новозыбкове
320-022


ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В ПОГАРСКОМ Р-НЕ 
320-023


 №2 (С МЕСТОМ ДИСЛОКАЦИИ В ПГТ. ПОГАР) МО УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В Г. ТРУБЧЕВСК
320-023


 Территориальным пунктом УФМС России по Брянской обл в Погарском районе
320-023


Миграционный пункт № 1 (с местом дислокации в г. Почеп) МО УФМС России по Брянской обл. в г. Трубчевск 
320-024


 МЕЖРАЙОННЫЙ ОТДЕЛ УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В Г. ПОЧЕПЕ
320-024


ТП №1 (С МЕСТОМ ДИСЛОКАЦИИ В Г. ПОЧЕП) МО УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В Г. ТРУБЧЕВСК 
320-024


Межрайонным Отделом УФМС России по Брянской области в городе Почепе 
320-024


ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В РОГНЕДИНСКОМ Р-НЕ 
320-025


ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В СЕВСКОМ Р-НЕ 
320-026


ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В Г. СЕВСК 
320-026


ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В Г. СЕЛЬЦО 
320-027


 ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В Г. СЕЛЬЦО
320-027


ТП №3 (С МЕСТОМ ДИСЛОКАЦИИ В Г. СЕЛЬЦО) МО УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В Г. БРЯНСКЕ 
320-027


Территориальным пунктом УФМС России по Брянской области в городе Сельцо 
320-027


ОУФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В Г. СТАРОДУБ 
320-028


 ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В СТАРОДУБСКОМ Р-НЕ
320-028


МЕЖРАЙОННЫЙ ОТДЕЛ УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В Г. СТАРОДУБ 
320-028


Территориальным пунктом УФМС России по Брянской области в Стародубском районе 
320-028


Миграционный пункт УФМС России по Брянской области в пгт. Суземка 
320-029


ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В СУЗЕМСКОМ Р-НЕ 
320-029


 ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В ПГТ. СУЗЕМКА
320-029


ТЕРРИТОРИАЛЬНЫМ ПУКТОМ УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ В СУЗЕМСКОМ Р-НE
320-029


 ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. в Г. СУРАЖ
320-030


ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В СУРАЖСКОМ Р-НЕ 
320-030


 ТП №1 (С МЕСТОМ ДИСЛОКАЦИИ В Г. СУРАЖ) МО УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В Г. СТАРОДУБ
320-030


 ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В ТРУБЧЕВСКОМ Р-НЕ
320-031


МЕЖРАЙОННЫЙ ОТДЕЛ УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В Г. ТРУБЧЕВСК 
320-031


Территориальным пунктом УФМС России по Брянской области в Трубчевском районе 
320-031


 ОТДЕЛЕНИЕ УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В Г. УНЕЧА
320-032


 МЕЖРАЙОННЫЙ ОТДЕЛ УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В Г. УНЕЧЕ
320-032


МО УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В Г. УНЕЧА 
320-032


Отделение в г. Унеча МО УФМС России по Брянской обл. в г. Стародуб 
320-032


Межрайонным Отделом УФМС России по Брянской области в городе Унече
320-032


ПОСТ ИММИГРАЦИОННОГО КОНТРОЛЯ БРЯНСК — 1 
320-033


УПРАВЛЕНИЕ ФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. 
320-033


 УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ.
320-033


ОТДЕЛ АДРЕСНО-СПРАВОЧНОЙ РАБОТЫ ФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. 
320-033


ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В Г. БРЯНСК-18 
320-034


УВД БРЯНСКОЙ ОБЛ. 
321-001


 УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ.
322-000


ОУФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В БЕЖИЦКОМ Р-НЕ Г. БРЯНСКА 
322-001


ОВД БЕЖИЦКОГО Р-НА ГОРОДА БРЯНСКА 
322-001


